Catalog,PME Code,SMILES,Viability Mask 1,Viability Mask 2,LPS Abs,LPS Abs Std,LPS Lum,LPS Lum Std,MPLA Abs,MPLA Abs Std,MPLA Lum,MPLA Lum Std,CpG Abs,CpG Abs Std,cGAMP Abs,cGAMP Abs Std,cGAMP Lum,cGAMP Lum Std,LMCpG Abs,LMCpG Abs Std,LMcGAMP Lum,LMcGAMP Lum Std
S1002,Primary,CN(C)CCC(CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCN(Cc4ccccc4-c4ccc(Cl)cc4)CC3)cc2)cc1[N+](=O)[O-],26.23648,14.02712,0.429047495,0.185260728,0.235876456,0.285951257,0.4660924079999999,0.02156716,0.6626992820000001,0.024265518,0.271616995,0.009874954,0.800289989,0.1174962669999999,0.460782826,0.2448195819999999,0.388918966,0.1078335050684738,0.4531195213333334,0.2177870247698754
S1003,Primary,Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1,22.48061,5.341797,1.059637547,0.326105833,0.6709088679999999,0.308058977,1.717621803,0.09361542,0.665346682,0.041842222,1.292867303,0.048163734,1.785022974,0.261554748,0.114343569,0.0482364859999999,1.356708884333333,0.1978455681006637,0.4835330396666666,0.1816387104793579
S1004,Primary,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,27.58469,13.02973,1.142071724,0.180019453,0.842143834,0.287863642,0.99026072,0.045344457,0.638505399,0.0284280739999999,0.972046494,0.034397367,0.911268115,0.137567118,0.5731526610000001,0.414680511,1.0347929793333333,0.1090050489588697,0.6846006313333334,0.2919095510485366
S1005,Primary,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,30.44567,4.462959,0.906732798,0.198435396,0.499995202,0.177106023,1.035528421,0.043380361,0.404003471,0.015586996,0.8474643829999999,0.034682516,0.86620903,0.129657328,0.045475394,0.035259426,0.929908534,0.1189696586280964,0.3164913556666667,0.1046465876956498
S1006,Primary,CN1CCN(CCOc2cc(OC3CCOCC3)c3c(Nc4c(Cl)ccc5c4OCO5)ncnc3c2)CC1,9.457356,9.381009,0.941748798,0.23724246,0.203873277,0.090009868,1.882760882,0.086353354,0.801812172,0.030832369,0.2192138139999999,0.011005236,1.344467521,0.24278681,0.331290543,0.012987671,1.0145744979999998,0.1459017955033643,0.445658664,0.0554409322719048
S1007,Primary,Cc1nc(C(=O)NCC(=O)O)c(O)c2ccc(Oc3ccccc3)cc12,32.43554,22.28249,0.514329195,0.0825142859999999,1.465229511,0.290683985,0.651108861,0.02773408,1.147350073,0.039923936,0.689817786,0.031978078,0.880951226,0.129434735,0.594694436,0.212988958,0.618418614,0.0535424568609194,1.06909134,0.2093286061285286
S1008,Primary,Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21,26.10583,5.443208,0.243070886,0.052931484,3.1028273110000004,0.681227565,0.21593532,0.009045311,2.768554688,0.116323985,0.321707457,0.012641395,0.818059027,0.1201665919999999,0.690020561,0.042757642,0.2602378876666666,0.0318505076729555,2.187134186666667,0.3997626298824131
S1010,Primary,COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N(C)C(=O)CN2CCN(C)CC2)cc1)c1ccccc1,26.21892,6.862504,1.62962532,0.114204973,0.263860345,0.077056758,1.325059295,0.057983655,0.289159,0.0122930319999999,0.6743805409999999,0.09453696,0.991050124,0.147075534,0.278369665,0.162397668,1.2096883853333331,0.0919095876593429,0.27712967,0.1040222174362474
S1011,Primary,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC1CCOC1,20.60342,12.1567,0.251841247,0.043502148,0.032009188,0.012349502,0.294653118,0.012769165,0.0550568659999999,0.00351486,0.201279521,0.015514864,0.8771116729999999,0.129373595,0.023575045,0.003650028,0.249257962,0.0276658601911551,0.0368803663333332,0.0077068615503413
S1012,Primary,Cc1cc(N2CCOCC2)cc2[nH]c(-c3c(NCC(O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,32.70916,34.75804,0.6815204020000001,0.076330073,0.026748942,0.004028242,0.801555514,0.035677262,0.0217270889999999,0.001417935,3.164685249,0.123555526,0.912802458,0.1351037769999999,0.014362388,0.004305579,1.5492537216666669,0.0863425639977924,0.0209461396666666,0.0035012037834641
